"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Aug 23 14:15:18 GMT 2025","Sat Aug 23 14:15:18 GMT 2025","0","tests.pytest","test_markers","TestUserInterface","","","test_forgot_password_link",""
"passed","Sat Aug 23 14:15:16 GMT 2025","Sat Aug 23 14:15:19 GMT 2025","2712","LMS system","Courses","Courses","","","test_edit_course[chromium]",""
"passed","Sat Aug 23 14:15:12 GMT 2025","Sat Aug 23 14:15:13 GMT 2025","1394","LMS system","Courses","Courses","","","Check displayning of empty courses list",""
"passed","Sat Aug 23 14:15:07 GMT 2025","Sat Aug 23 14:15:09 GMT 2025","1988","LMS system","Authentication","Authorization","","","User login with wrong email or password",""
"passed","Sat Aug 23 14:15:16 GMT 2025","Sat Aug 23 14:15:18 GMT 2025","1745","LMS system","Dashboard","Dashboard","","","Check displayning of dashboard page",""
"passed","Sat Aug 23 14:15:18 GMT 2025","Sat Aug 23 14:15:18 GMT 2025","0","tests.pytest","test_markers","TestUserAuthentication","","","test_logout",""
"passed","Sat Aug 23 14:15:10 GMT 2025","Sat Aug 23 14:15:12 GMT 2025","2884","LMS system","Authentication","Authorization","","","Navigation from login page to registration page",""
"passed","Sat Aug 23 14:15:13 GMT 2025","Sat Aug 23 14:15:16 GMT 2025","2308","LMS system","Courses","Courses","","","Create course",""
"passed","Sat Aug 23 14:15:19 GMT 2025","Sat Aug 23 14:15:19 GMT 2025","0","tests.pytest","test_markers","","","","test_regression_case",""
"passed","Sat Aug 23 14:15:18 GMT 2025","Sat Aug 23 14:15:18 GMT 2025","0","tests.pytest","test_markers","","","","test_critical_login",""
"passed","Sat Aug 23 14:15:09 GMT 2025","Sat Aug 23 14:15:10 GMT 2025","1352","LMS system","Authentication","Authorization","","","User login with wrong email or password",""
"passed","Sat Aug 23 14:15:13 GMT 2025","Sat Aug 23 14:15:15 GMT 2025","1890","LMS system","Authentication","Registration","","","Registration with correct email, username and password",""
"passed","Sat Aug 23 14:15:05 GMT 2025","Sat Aug 23 14:15:07 GMT 2025","1917","LMS system","Authentication","Authorization","","","User login with wrong email or password",""
"passed","Sat Aug 23 14:15:05 GMT 2025","Sat Aug 23 14:15:08 GMT 2025","3105","LMS system","Authentication","Authorization","","","User login with correct email and password",""
"passed","Sat Aug 23 14:15:18 GMT 2025","Sat Aug 23 14:15:18 GMT 2025","0","tests.pytest","test_markers","TestUserAuthentication","","","test_password_reset",""
"passed","Sat Aug 23 14:15:18 GMT 2025","Sat Aug 23 14:15:18 GMT 2025","0","tests.pytest","test_markers","TestUserAuthentication","","","test_login",""
